site,depth_num,treatment,depth,KCL_ug_NO3_N_g_soil,KCL_ug_NH4_N_g_soil,bulk_density
APP1,1,soy,0_1,0,0.726434148,1.297530069
APP1,2,soy,1_2,2.403764828,0.665972241,1.320107388
APP1,3,soy,2_3,7.476901047,0.58890157,1.31020189
APP1,4,soy,3_4,11.08190216,0.392540284,1.349879725
APP1,5,soy,4_5,45.97677,0.407334655,1.429733677
APP1,6,soy,5_6,47.53524931,0.378860862,1.485021478
APP1,7,soy,6_7,42.8597631,0.383606034,1.483943299
APP1,8,soy,7_8,37.40501483,0.404170862,1.474892612
APPM,1,forest,0_1,0,0.454791149,1.297530069
APPM,2,forest,1_2,2.077998621,0.32824046,1.320107388
APPM,3,forest,2_3,0,0.132822674,1.31020189
APPM,4,forest,3_4,0,0.085421494,1.349879725
APPM,5,forest,4_5,0.604369884,0.260844884,1.429733677
APPM,6,forest,5_6,0,0.180030814,1.485021478
Cascavel,1,soy,0_1,0,0.270446628,1.108235968
Cascavel,2,soy,1_2,1.829378571,0.221181191,1.027766323
Cascavel,3,soy,2_3,1.488824824,0.019429176,1.005601375
Cascavel,4,soy,3_4,8.487474419,0,0.989278351
Cascavel,5,soy,4_5,12.65500941,0.045334706,1.102439863
Cascavel,6,soy,5_6,6.832639059,0.059096941,1.268006873
Cascavel,7,soy,6_7,2.394337857,0,1.30137457
Cascavel,8,soy,7_8,1.667963214,0.118782262,1.281408935
Nascente,1,soy,0_1,5.549436456,0.283957722,1.108235968
Nascente,2,soy,1_2,15.37853766,0.16353987,1.027766323
Nascente,3,soy,2_3,7.0205176,0.226620533,1.005601375
Nascente,4,soy,3_4,9.370732,0.914738934,0.989278351
Nascente,5,soy,4_5,0,0.005361948,1.102439863
Nascente,6,soy,5_6,1.9701,0,1.268006873
Nascente,7,soy,6_7,2.143935385,0,1.30137457
Nascente,8,soy,7_8,4.05609,0.026465897,1.281408935
C-N,1,forest,0_1,2.913263494,0.428623494,1.108235968
C-N,2,forest,1_2,3.27949939,0,1.027766323
C-N,3,forest,2_3,2.53541122,0,1.005601375
C-N,4,forest,3_4,3.692879268,0,0.989278351
C-N,5,forest,4_5,2.204702927,0,1.102439863
C-N,6,forest,5_6,0,0.007461446,1.268006873
C-N,7,forest,6_7,0.451965176,0.199958941,1.30137457
C-N,8,forest,7_8,1.425839286,0.734812619,1.281408935
T179,1,soy,0_1,2.494648193,0.611597108,1.108235968
T179,2,soy,1_2,0.540834878,0.363947683,1.027766323
T179,3,soy,2_3,4.564971852,0.26819679,1.005601375
T179,4,soy,3_4,19.63974568,1.471130124,0.989278351
T179,5,soy,4_5,6.071524444,0.329362716,1.102439863
T179,6,soy,5_6,6.740620875,0.386808875,1.268006873
T179,7,soy,6_7,2.388847407,0.62924642,1.30137457
T179,8,soy,7_8,2.891032222,0.434704198,1.281408935
T110,1,maize,0_1,3.148089759,0.575118193,1.223069874
T110,2,maize,1_2,7.154952439,0.468843781,1.172027491
T110,3,maize,2_3,29.99810854,0,1.204467354
T110,4,maize,3_4,48.06442593,0.358103086,1.22242268
T110,5,maize,4_5,17.39286951,0,1.197955326
T110,6,maize,5_6,5.615393704,0.902774074,1.174003436
T110,7,maize,6_7,5.371623,0,1.182714777
T110,8,maize,7_8,5.26179,0.372931191,1.247164948
APP5,1,maize,0_1,0.571269878,0,1.223069874
APP5,2,maize,1_2,2.890834074,1.489931235,1.172027491
APP5,3,maize,2_3,13.57148519,0,1.204467354
APP5,4,maize,3_4,13.59145556,0,1.22242268
APP5,5,maize,4_5,5.944206375,0,1.197955326
APP5,6,maize,5_6,2.75987775,0.460314875,1.174003436
APP5,7,maize,6_7,1.87545975,0,1.182714777
APP5,8,maize,7_8,1.754131875,0.04466975,1.247164948
APP4,1,maize,0_1,2.498044699,0,1.108235968
APP4,2,maize,1_2,11.4308241,0,1.027766323
APP4,3,maize,2_3,18.12489146,0,1.005601375
APP4,4,maize,3_4,22.5794963,0,0.989278351
APP4,5,maize,4_5,5.61960075,0,1.102439863
APP4,6,maize,5_6,4.4063205,2.170467375,1.268006873
APP4,7,maize,6_7,1.277334375,6.0766695,1.30137457
APP4,8,maize,7_8,2.626842375,5.118645,1.281408935
APP2a,1,forest,0_1,3.106854512,1.103237927,1.108235968
APP2a,2,forest,1_2,6.736961481,2.627377407,1.027766323
APP2a,3,forest,2_3,7.350121125,8.5447575,1.005601375
APP2a,4,forest,3_4,-297.635,-9.44813,0.989278351
APP2a,5,forest,4_5,6.64237425,0.235088625,1.102439863
APP2a,6,forest,5_6,3.317560875,0.240458625,1.268006873
APP2a,7,forest,6_7,1.40042494,0.406716145,1.30137457
APP2a,8,forest,7_8,0.207404458,0,1.281408935
APP2,1,forest,0_1,1.53472814,1.257108023,1.223069874
APP2,2,forest,1_2,0.239770465,1.031314767,1.172027491
APP2,3,forest,2_3,0.394215,0.481817326,1.204467354
APP2,4,forest,3_4,0.355780588,0,1.22242268
APP2,5,forest,4_5,0.542719186,0.50179907,1.197955326
APP2,6,forest,5_6,0.424915172,0.460477471,1.174003436
APP2,7,forest,6_7,0.417184091,0.281449318,1.182714777
APP2,8,forest,7_8,0.075646364,1.250994091,1.247164948
MT5?,1,maize,0_1,2.281172593,3.307716543,1.223069874
MT5?,2,maize,1_2,1.739834444,0.345020617,1.172027491
MT5?,3,maize,2_3,8.49181519,0.38312038,1.204467354
MT5?,4,maize,3_4,32.15036582,1.044388734,1.22242268
MT5?,5,maize,4_5,51.21042152,1.475082785,1.197955326
MT5?,6,maize,5_6,39.68802375,0.984077125,1.174003436
MT5?,7,maize,6_7,13.479315,2.56825225,1.182714777
MT5?,8,maize,7_8,12.057435,0.549100375,1.247164948
